2026-02-12 15:01:54 - Results for llama-3.1-8b on mmlu:
|                 Tasks                 |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|------|---|-----:|---|-----:|
|mmlu                                   |      2|none  |      |acc   |↑  |0.5884|±  |0.0039|
| - humanities                          |      2|none  |      |acc   |↑  |0.5388|±  |0.0068|
|  - formal_logic                       |      1|none  |     5|acc   |↑  |0.3651|±  |0.0431|
|  - high_school_european_history       |      1|none  |     5|acc   |↑  |0.7394|±  |0.0343|
|  - high_school_us_history             |      1|none  |     5|acc   |↑  |0.7647|±  |0.0298|
|  - high_school_world_history          |      1|none  |     5|acc   |↑  |0.8017|±  |0.0260|
|  - international_law                  |      1|none  |     5|acc   |↑  |0.7686|±  |0.0385|
|  - jurisprudence                      |      1|none  |     5|acc   |↑  |0.7037|±  |0.0441|
|  - logical_fallacies                  |      1|none  |     5|acc   |↑  |0.6994|±  |0.0360|
|  - moral_disputes                     |      1|none  |     5|acc   |↑  |0.6734|±  |0.0252|
|  - moral_scenarios                    |      1|none  |     5|acc   |↑  |0.3117|±  |0.0155|
|  - philosophy                         |      1|none  |     5|acc   |↑  |0.6463|±  |0.0272|
|  - prehistory                         |      1|none  |     5|acc   |↑  |0.6852|±  |0.0258|
|  - professional_law                   |      1|none  |     5|acc   |↑  |0.4400|±  |0.0127|
|  - world_religions                    |      1|none  |     5|acc   |↑  |0.7485|±  |0.0333|
| - other                               |      2|none  |      |acc   |↑  |0.6588|±  |0.0082|
|  - business_ethics                    |      1|none  |     5|acc   |↑  |0.5700|±  |0.0498|
|  - clinical_knowledge                 |      1|none  |     5|acc   |↑  |0.6528|±  |0.0293|
|  - college_medicine                   |      1|none  |     5|acc   |↑  |0.6301|±  |0.0368|
|  - global_facts                       |      1|none  |     5|acc   |↑  |0.3500|±  |0.0479|
|  - human_aging                        |      1|none  |     5|acc   |↑  |0.6547|±  |0.0319|
|  - management                         |      1|none  |     5|acc   |↑  |0.7961|±  |0.0399|
|  - marketing                          |      1|none  |     5|acc   |↑  |0.8632|±  |0.0225|
|  - medical_genetics                   |      1|none  |     5|acc   |↑  |0.7400|±  |0.0441|
|  - miscellaneous                      |      1|none  |     5|acc   |↑  |0.7663|±  |0.0151|
|  - nutrition                          |      1|none  |     5|acc   |↑  |0.6765|±  |0.0268|
|  - professional_accounting            |      1|none  |     5|acc   |↑  |0.4220|±  |0.0295|
|  - professional_medicine              |      1|none  |     5|acc   |↑  |0.5882|±  |0.0299|
|  - virology                           |      1|none  |     5|acc   |↑  |0.5000|±  |0.0389|
| - social sciences                     |      2|none  |      |acc   |↑  |0.6916|±  |0.0081|
|  - econometrics                       |      1|none  |     5|acc   |↑  |0.4211|±  |0.0464|
|  - high_school_geography              |      1|none  |     5|acc   |↑  |0.7828|±  |0.0294|
|  - high_school_government_and_politics|      1|none  |     5|acc   |↑  |0.8135|±  |0.0281|
|  - high_school_macroeconomics         |      1|none  |     5|acc   |↑  |0.5949|±  |0.0249|
|  - high_school_microeconomics         |      1|none  |     5|acc   |↑  |0.5882|±  |0.0320|
|  - high_school_psychology             |      1|none  |     5|acc   |↑  |0.7872|±  |0.0175|
|  - human_sexuality                    |      1|none  |     5|acc   |↑  |0.7176|±  |0.0395|
|  - professional_psychology            |      1|none  |     5|acc   |↑  |0.6340|±  |0.0195|
|  - public_relations                   |      1|none  |     5|acc   |↑  |0.6545|±  |0.0455|
|  - security_studies                   |      1|none  |     5|acc   |↑  |0.6490|±  |0.0306|
|  - sociology                          |      1|none  |     5|acc   |↑  |0.8607|±  |0.0245|
|  - us_foreign_policy                  |      1|none  |     5|acc   |↑  |0.8100|±  |0.0394|
| - stem                                |      2|none  |      |acc   |↑  |0.4922|±  |0.0086|
|  - abstract_algebra                   |      1|none  |     5|acc   |↑  |0.2900|±  |0.0456|
|  - anatomy                            |      1|none  |     5|acc   |↑  |0.5778|±  |0.0427|
|  - astronomy                          |      1|none  |     5|acc   |↑  |0.6513|±  |0.0388|
|  - college_biology                    |      1|none  |     5|acc   |↑  |0.7014|±  |0.0383|
|  - college_chemistry                  |      1|none  |     5|acc   |↑  |0.4400|±  |0.0499|
|  - college_computer_science           |      1|none  |     5|acc   |↑  |0.4600|±  |0.0501|
|  - college_mathematics                |      1|none  |     5|acc   |↑  |0.2400|±  |0.0429|
|  - college_physics                    |      1|none  |     5|acc   |↑  |0.4118|±  |0.0490|
|  - computer_security                  |      1|none  |     5|acc   |↑  |0.7500|±  |0.0435|
|  - conceptual_physics                 |      1|none  |     5|acc   |↑  |0.5319|±  |0.0326|
|  - electrical_engineering             |      1|none  |     5|acc   |↑  |0.5586|±  |0.0414|
|  - elementary_mathematics             |      1|none  |     5|acc   |↑  |0.3651|±  |0.0248|
|  - high_school_biology                |      1|none  |     5|acc   |↑  |0.7194|±  |0.0256|
|  - high_school_chemistry              |      1|none  |     5|acc   |↑  |0.4433|±  |0.0350|
|  - high_school_computer_science       |      1|none  |     5|acc   |↑  |0.6400|±  |0.0482|
|  - high_school_mathematics            |      1|none  |     5|acc   |↑  |0.3481|±  |0.0290|
|  - high_school_physics                |      1|none  |     5|acc   |↑  |0.3576|±  |0.0391|
|  - high_school_statistics             |      1|none  |     5|acc   |↑  |0.4306|±  |0.0338|
|  - machine_learning                   |      1|none  |     5|acc   |↑  |0.4643|±  |0.0473|

2026-02-12 15:25:16 - Results for llama-3.1-8b on mmlu:
|                 Tasks                 |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|------|---|-----:|---|-----:|
|mmlu                                   |      2|none  |      |acc   |↑  |0.6008|±  |0.0039|
| - humanities                          |      2|none  |      |acc   |↑  |0.5486|±  |0.0068|
|  - formal_logic                       |      1|none  |     5|acc   |↑  |0.4048|±  |0.0439|
|  - high_school_european_history       |      1|none  |     5|acc   |↑  |0.7636|±  |0.0332|
|  - high_school_us_history             |      1|none  |     5|acc   |↑  |0.7941|±  |0.0284|
|  - high_school_world_history          |      1|none  |     5|acc   |↑  |0.7932|±  |0.0264|
|  - international_law                  |      1|none  |     5|acc   |↑  |0.7438|±  |0.0398|
|  - jurisprudence                      |      1|none  |     5|acc   |↑  |0.7315|±  |0.0428|
|  - logical_fallacies                  |      1|none  |     5|acc   |↑  |0.7178|±  |0.0354|
|  - moral_disputes                     |      1|none  |     5|acc   |↑  |0.6590|±  |0.0255|
|  - moral_scenarios                    |      1|none  |     5|acc   |↑  |0.3408|±  |0.0159|
|  - philosophy                         |      1|none  |     5|acc   |↑  |0.6656|±  |0.0268|
|  - prehistory                         |      1|none  |     5|acc   |↑  |0.6852|±  |0.0258|
|  - professional_law                   |      1|none  |     5|acc   |↑  |0.4368|±  |0.0127|
|  - world_religions                    |      1|none  |     5|acc   |↑  |0.7953|±  |0.0309|
| - other                               |      2|none  |      |acc   |↑  |0.6765|±  |0.0081|
|  - business_ethics                    |      1|none  |     5|acc   |↑  |0.6400|±  |0.0482|
|  - clinical_knowledge                 |      1|none  |     5|acc   |↑  |0.7094|±  |0.0279|
|  - college_medicine                   |      1|none  |     5|acc   |↑  |0.6185|±  |0.0370|
|  - global_facts                       |      1|none  |     5|acc   |↑  |0.3200|±  |0.0469|
|  - human_aging                        |      1|none  |     5|acc   |↑  |0.6592|±  |0.0318|
|  - management                         |      1|none  |     5|acc   |↑  |0.8058|±  |0.0392|
|  - marketing                          |      1|none  |     5|acc   |↑  |0.8462|±  |0.0236|
|  - medical_genetics                   |      1|none  |     5|acc   |↑  |0.7200|±  |0.0451|
|  - miscellaneous                      |      1|none  |     5|acc   |↑  |0.7816|±  |0.0148|
|  - nutrition                          |      1|none  |     5|acc   |↑  |0.6830|±  |0.0266|
|  - professional_accounting            |      1|none  |     5|acc   |↑  |0.4433|±  |0.0296|
|  - professional_medicine              |      1|none  |     5|acc   |↑  |0.6618|±  |0.0287|
|  - virology                           |      1|none  |     5|acc   |↑  |0.5120|±  |0.0389|
| - social sciences                     |      2|none  |      |acc   |↑  |0.6981|±  |0.0080|
|  - econometrics                       |      1|none  |     5|acc   |↑  |0.3947|±  |0.0460|
|  - high_school_geography              |      1|none  |     5|acc   |↑  |0.7626|±  |0.0303|
|  - high_school_government_and_politics|      1|none  |     5|acc   |↑  |0.8342|±  |0.0268|
|  - high_school_macroeconomics         |      1|none  |     5|acc   |↑  |0.5462|±  |0.0252|
|  - high_school_microeconomics         |      1|none  |     5|acc   |↑  |0.6303|±  |0.0314|
|  - high_school_psychology             |      1|none  |     5|acc   |↑  |0.8073|±  |0.0169|
|  - human_sexuality                    |      1|none  |     5|acc   |↑  |0.7252|±  |0.0392|
|  - professional_psychology            |      1|none  |     5|acc   |↑  |0.6634|±  |0.0191|
|  - public_relations                   |      1|none  |     5|acc   |↑  |0.6727|±  |0.0449|
|  - security_studies                   |      1|none  |     5|acc   |↑  |0.6653|±  |0.0302|
|  - sociology                          |      1|none  |     5|acc   |↑  |0.8209|±  |0.0271|
|  - us_foreign_policy                  |      1|none  |     5|acc   |↑  |0.8500|±  |0.0359|
| - stem                                |      2|none  |      |acc   |↑  |0.5094|±  |0.0085|
|  - abstract_algebra                   |      1|none  |     5|acc   |↑  |0.2600|±  |0.0441|
|  - anatomy                            |      1|none  |     5|acc   |↑  |0.5556|±  |0.0429|
|  - astronomy                          |      1|none  |     5|acc   |↑  |0.6579|±  |0.0386|
|  - college_biology                    |      1|none  |     5|acc   |↑  |0.7292|±  |0.0372|
|  - college_chemistry                  |      1|none  |     5|acc   |↑  |0.4500|±  |0.0500|
|  - college_computer_science           |      1|none  |     5|acc   |↑  |0.4800|±  |0.0502|
|  - college_mathematics                |      1|none  |     5|acc   |↑  |0.3400|±  |0.0476|
|  - college_physics                    |      1|none  |     5|acc   |↑  |0.4118|±  |0.0490|
|  - computer_security                  |      1|none  |     5|acc   |↑  |0.7800|±  |0.0416|
|  - conceptual_physics                 |      1|none  |     5|acc   |↑  |0.5277|±  |0.0326|
|  - electrical_engineering             |      1|none  |     5|acc   |↑  |0.6345|±  |0.0401|
|  - elementary_mathematics             |      1|none  |     5|acc   |↑  |0.3704|±  |0.0249|
|  - high_school_biology                |      1|none  |     5|acc   |↑  |0.7258|±  |0.0254|
|  - high_school_chemistry              |      1|none  |     5|acc   |↑  |0.5222|±  |0.0351|
|  - high_school_computer_science       |      1|none  |     5|acc   |↑  |0.6600|±  |0.0476|
|  - high_school_mathematics            |      1|none  |     5|acc   |↑  |0.3407|±  |0.0289|
|  - high_school_physics                |      1|none  |     5|acc   |↑  |0.3377|±  |0.0386|
|  - high_school_statistics             |      1|none  |     5|acc   |↑  |0.4861|±  |0.0341|
|  - machine_learning                   |      1|none  |     5|acc   |↑  |0.4643|±  |0.0473|

